ID,Study,Study design,LOE,N,M/F,Male,Female,Age (years),Age,SD,Follow-up,IKDC subjective,IKDC objective,Lachman,Lysholm,Tegner,Q-LSI,Q-LSI isometric,Q-LSI isokinetic 60,Q-LSI isokinetic 90,Q-LSI isokinetic 180,Q-LSI isokinetic 240,H-LSI,H-LSI isometric,H-LSI isokinetic 60,H-LSI isokinetic 90,H-LSI isokinetic 180,H-LSI isokinetic 240,Marx,KOOS,KOOS ADL,KOOS pain,KOOS sport,KOOS symptoms,KOOS QoL,Pivot shift,Instrumental laxity,VAS,Graft rupture,Donor site morbidity,Arthrofibrosis,SLHT,Patellar fracture
45,"Kuangyang et al., 2022",Retrospective comparative study,III,33,27/6,27,6,28.8 ± 6.5,28.8,6.5,12,,✓,,✓,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,,,
46,"Kwak et al., 2018",Case-control study,III,45,38/7,38,7,34.5 ± 12.8,34.5,12.8,29.8,✓,,✓,✓,✓,,,✓,,✓,,,,,,,,,✓,,,,,,✓,✓,,✓,✓,✓,,
47,"Lee et al., 2004",Case series,IV,67,58/9,58,9,28 ± 8,28.0,8,41,,✓,✓,,,✓,,✓,,✓,,,,,,,,,,,,,,,✓,,,✓,✓,,,
48,"Lee et al., 2007a",Retrospective cohort study,III,137,123/14,123,14,27 ± 6.7,27.0,6.7,59,,,✓,✓,,,✓,,,,,,,,,,,,,,,,,,✓,✓,,,,,,
49,"Lee et al., 2007b",Prospective cohort study,II,247,219/28,219,28,29 ± 7.5,29.0,7.5,44,,✓,✓,,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,,,
50,"Lee et al., 2014",Retrospective comparative study,III,104,89/15,89,15,29.3 ± 8.2,29.3,8.2,32.3,✓,,✓,✓,✓,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,✓,✓,,✓
51,"Lee et al., 2016",Retrospective comparative study,III,48,44/4,44,4,31.1 ± 9,31.1,9,35.6,✓,,✓,✓,✓,✓,,✓,,✓,,✓,,✓,,✓,,,,,,,,,✓,✓,,,✓,,,
52,"Lee et al., 2021",Case series,IV,139,119/20,119,20,30 ± 6.5,30.0,6.5,122.4,✓,,✓,✓,✓,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,✓,✓,,✓
53,"Letter et al., 2019",Retrospective comparative study,III,17,11/6,11,6,25.8 ± 4.9,25.8,4.9,24.9,✓,,,✓,✓,,✓,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Letter et al., 2021",Retrospective comparative study,III,,,,,25.8 ± 4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Letter et al., 2023",Retrospective comparative study,III,26,21/5,21,5,27.4 ± 5.6,27.4,5.6,23.5,✓,,,✓,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Lind et al., 2020a",Prospective cohort study,III,531,372/159,372,159,26.2,26.2,,12,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,,,,
57,"Lind et al., 2020b",Randomized controlled trial,II,50,29/21,29,21,27.2 ± 6.4,27.2,6.4,24,✓,,,,✓,,,,,,,,,,,,,,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,
58,"Lind et al., 2021",Retrospective cohort study,III,1194,776/418,776,418,25.5 ± 8.3,25.5,8.3,12,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,,,,,,
59,"Lubis et al., 2020",Prospective cohort study,III,15,15/0,15,0,28 ± 6.3,28.0,6.3,12,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,
60,"Lund et al., 2014",Randomized controlled trial,II,21,17/4,17,4,31 ± 8,31.0,8,24,✓,,✓,,,,,,,,,,,,,,,,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,,
61,"Malinowski et al., 2021",Retrospective comparative study,III,106,NR,,,NR,,,18,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,
62,"Martin-Alguacil et al., 2018",Randomized controlled trial,II,26,23/3,23,3,18.7 ± 3.6,18.7,3.6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,
63,"Mouarbes et al., 2020",Retrospective comparative study,III,30,28/2,28,2,23.9 ± 7.1,23.9,7.1,12,,,,✓,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,
64,"Mutsuzaki et al., 2019",Retrospective cohort study,III,8,2/6,2,6,41.6 ± 10.6,41.6,10.6,28.8,,✓,,✓,✓,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,✓,✓,,✓
65,"Ollivier et al., 2021",Prospective case series,IV,340,278/62,278,62,26 ± 8,26.0,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,✓,,✓
66,"Ortmaier et al., 2021",Retrospective comparative study,III,20,NR,,,30.9 ± 13.2,30.9,13.2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,
67,"Panos et al., 2021",Prospective cohort study,II,23,16/7,16,7,22 ± 6.1,22.0,6.1,12,,,,,,,,,,,,,,,,,,✓,,,,,,,,✓,,,,,,
68,"Perez et al., 2019",Retrospective cohort study,III,28,17/11,17,11,23.1 ± 5.5,23.1,5.5,31.64,✓,,,✓,✓,,,,,,,,,,,,,,,,,,,,,,,✓,✓,✓,,✓
69,"Pichler et al., 2022",Retrospective cohort study,III,40,29/11,29,11,31.3 ± 9.5,31.3,9.5,16.8,✓,,,✓,✓,,,,,,,,,,,,,,,,,,,,,,✓,✓,✓,,,
70,"Pigozzi et al., 2004",Randomized controlled trial,II,24,17/7,17,7,33 ± 6.7,33.0,6.7,6,,,,,,✓,,,,,,✓,,,,,,,,,,,,,,,,,,,,
71,"Pomenta Bastidas et al., 2022",Prospective comparative study,II,20,17/3,17,3,30.2 ± 2.4,30.2,2.4,27.4,✓,,✓,✓,✓,,,,,,,,,,,,,,,,,,,,✓,,,✓,,,,✓
72,"Renfree et al., 2023",Retrospective comparative study,III,32,13/19,13,19,17.6 ± 2.8,17.6,2.8,24,✓,,,✓,,,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,
73,"Runer et al., 2018",Prospective comparative study,III,40,23/17,23,17,34.6 ± 11,34.6,11,24,,,,✓,✓,,,,,,,,,,,,,,,,,,,,,,✓,✓,✓,,,✓
74,"Runer et al., 2020",Retrospective comparative study,III,217,127/90,127,90,28.9 ± 11.9,28.9,11.9,24,,,,✓,✓,,,,,,,,,,,,,,,,,,,,,,✓,✓,,,,
75,"Runer et al., 2023",Prospective comparative study,II,45,29/16,29,16,28.9 ± 11.6,28.9,11.6,78.9,✓,✓,,✓,✓,,,,,,,,,,,,,,,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,
76,"Schagemann et al., 2021",Retrospective comparative study,III,8,4/4,4,4,23 ± 13,23.0,13,68.6,,,,✓,,,,,,,,,,,,,,,✓,,,,,,,,✓,,,,,
77,"Schmücker et al., 2021",Retrospective comparative study,III,223,140/83,140,83,26.6 ± 8.6,26.6,8.6,27.2,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,,✓,,
78,"Schulz et al., 2013",Case series,IV,55,31/24,31,24,31.7 ± 9.4,31.7,9.4,29.5,✓,✓,✓,✓,✓,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,✓,,✓,
